RatingID,PoleSpeed,MotorRotorInertia,Connection,BarMaterial,ERMaterial,WindingResistAt105,BarRes,ERRes,StatorOD,RotorOD,RotorSlotType,StatorSlotType,NemaDesign,NemaKVACode,Name,SRPM,Efficiency100,PowerFactor100,HorsePower,Voltage,Frequency,RPM,Amps,NoLoadAmps,LockedRotorAmps,LockedRotorTorque,BreakDownTorque,SFRiseByRes1,BDTCorelFactor,ReactCoilEndRun,ResTotalStart,ReactTotalRun,ReactStatorSlotRun,ReactStatorSlotStart,ReactRotorSlotRun,ReactRotorSlotStart,ReactZigZagRun,ReactZigZagStart,ReactBeltLeakRun,ReactTotalStart,FrameSize
H0803710B,6,79.375028860236,Wye,AL,AL,0.247140344694571,0.190606817603111,0.0232023181593602,610,421.27999997139,Dbl - Closed,72,,F,Standard / High Efficiency,1200,0.95,0.78,700,4000,60,1189,101.7,39.96,554.3,168.1,250,94,1.3594344752582925,4.47731384165538,1.19952738285065,7.10947847366333,20.2764301300049,20.2764301300049,42.9082870483398,23.5921630859375,5.64254426956177,5.15394115447998,3.30657626723977,4.98471689224243,5811UZ
H09010,6,90.7143186974126,Wye,AL,AL,0.179626741802939,0.156303554773331,0.0167636748701377,610,421.27999997139,Dbl - Closed,72,,J,Standard / High Efficiency,1200,0.961,0.732,700.000016363313,4160,60,1192,103.08,52.75,717.7,224.5,315.7,73,1.358433734939759,3.91764961144846,0.958351016044617,6.01057577133179,20.2764301300049,20.2764301300049,45.8574066162109,23.3834171295166,5.64254426956177,5.03907823562622,3.30657626723977,4.04672765731812,5811US
H11037,4,32.6807277479647,Wye,AL,AL,0.382896703621306,0.412241756916046,0.0615112536607582,590,386.599999904633,Dbl - Closed,60,,G,Standard / High Efficiency,1800,0.94,0.851,600,4160,60,1771,77.7,25.12,505.2,171.2,300.5,68,1.135247449943332,13.4256722253374,1.4881294965744,6.29023313522339,18.6943454742432,18.6943454742432,31.3526172637939,17.8730640411377,8.25512504577637,5.40246534347534,5.461621131424,4.80550575256348,5012
H11037,4,32.6807277479647,Wye,AL,AL,0.406325576004628,0.412241756916046,0.0615112536607582,590,386.599999904633,Dbl - Closed,60,,G,Standard / High Efficiency,1800,0.939,0.851,600,4160,60,1771,77.77,25.12,504.4,170.7,299.4,69,1.134950720242608,13.4256722253374,1.51155841350555,6.28920030593872,18.6943454742432,18.6943454742432,31.3399429321289,17.8760871887207,8.25512504577637,5.40807342529297,5.461621131424,4.80651187896729,5012
H920367,4,19.6633542018963,Wye,AL,AL,0.74249585059682,0.35850864648819,0.113773307203553,550,362.400000095367,Dbl - Closed,60,,H,Standard / High Efficiency,1800,0.952,0.854,399.999991818344,4160,60,1783,50.96,16.73,384.5,296.9,237.7,74,1.0158119658119658,15.2346049041197,2.60457587242126,10.6274785995483,19.9653816223145,19.9653816223145,44.9844169616699,21.3945178985596,9.70170497894287,6.02553606033325,6.75254271703497,7.01335048675537,505U
H920367A,4,19.6633542018963,Delta,AL,AL,0.74249585059682,0.35850864648819,0.113773307203553,550,362.400000095367,Dbl - Closed,60,,H,Standard / High Efficiency,1800,0.951,0.869,400,2300,60,1782,90.64,25.59,633.9,268.8,219.8,76,1.0161812297734627,15.2346049041197,2.60457587242126,10.5959882736206,19.9653816223145,19.9653816223145,44.2933120727539,21.5082931518555,9.70170497894287,6.22756290435791,6.75254271703497,7.06125974655151,505U
H920369,4,19.6633542018963,Delta,AL,AL,0.74249585059682,0.35850864648819,0.113773307203553,550,362.400000095367,Dbl - Closed,60,,H,Standard / High Efficiency,1800,0.951,0.869,400,2300,60,1782,90.64,25.59,633.9,268.8,219.8,76,1.0161812297734627,15.2346049041197,2.60457587242126,10.5959882736206,19.9653816223145,19.9653816223145,44.2933120727539,21.5082931518555,9.70170497894287,6.22756290435791,6.75254271703497,7.06125974655151,505U
H0102510,2,24.6821669137124,Wye,CU,CU,0.232989811027726,0.121759742498398,0.0189901667769607,670,368.400000095367,Trapeze,48,,F,Standard / High Efficiency,3600,0.952,0.891,800,4160,60,3582,97.64,24.64,593.8,112.2,257,34,0.7676224611708482,31.108683420097,0.88110363483429,3.86811995506287,18.5331363677979,18.5331363677979,16.8041362762451,14.8054065704346,4.12748765945435,3.849928855896,7.19222266031972,3.73083853721619,5812USS
H940243,4,51.6037026794947,Wye,CU,CU,0.301062802579006,0.226696744561195,0.0114794001192338,610,396.400000095367,Rectang,60,A,H,Standard / High Efficiency,1800,0.95,0.916,500,4160,60,1788,59.5,13,449,112,240,68,0.9248554913294798,10.1893786047034,1.11032736301422,8.16964721679688,22.5957794189453,22.5957794189453,17.3123531341553,10.9984550476074,5.94718360900879,5.18791484832764,5.08689760126846,7.13759565353394,5810
4H4002,4,0.024398102466903,Wye,AL,AL,4.88729963260918,4.1655158996582,1.02154305559091,160,94.6499999761581,Diamond,36,"A,B,C",K,TIC Premium Brand,1800,0.866,0.803,2,460,60,1734,2.69,1.38,21.3,339,395.9,39,1.5944422070076518,10.4723537705959,10.0743589401245,19.0428409576416,13.7188405990601,13.7188405990601,36.9264297485352,18.6745452880859,31.0262050628662,20.9921283721924,6.66294855878327,11.9111948013306,145T
