DesignAuditID,RatingID,PoleSpeed,EfficiencyBand,HorsePower,Voltage,Frequency,RPM,Amps,NoLoadAmps,Connection,WindingResistAt105,BarRes,ERRes,BDTCorelFactor,ReactCoilEndRun,ResTotalStart,ReactTotalRun,ReactStatorSlotRun,ReactStatorSlotStart,ReactRotorSlotRun,ReactRotorSlotStart,ReactZigZagRun,ReactZigZagStart,ReactBeltLeakRun,ReactTotalStart,FrameSize
2072,PH2450C,2,20,450.000016363313,575,60,3581,394,82,Delta,0.0137543884865414,0.00841063261032104,0.00374995451797545,0.8753647353063776,13.4191048002603,0.118591375648975,0.572524547576904,12.8240871429443,12.8240871429443,80.5212631225586,45.1590270996094,12.1953344345093,12.1437377929688,10.1353263680925,0.415277391672134,5011USS
2073,3H2500C,2,20,500,575,60,3577,438,83,Delta,0.0126102398915071,0.00839045457541943,0.00370080361146397,0.8216926869350862,12.8669469192807,0.101281777024269,0.511017024517059,12.8240871429443,12.8240871429443,69.835693359375,36.6388092041016,12.1953344345093,11.9603404998779,10.1353263680925,0.36521315574646,5010
2074,PH2500C,2,20,500,575,60,3581,439,91,Delta,0.0122140735675041,0.00766498269513249,0.00321498158262641,1.193467336683417,12.5670981462756,0.107554160058498,0.518044233322144,12.8240871429443,12.8240871429443,79.8754653930664,45.0644874572754,12.1953344345093,12.1044845581055,10.1353263680925,0.376036494970322,5011USS
2075,KH6001C,6,20,1,575,60,1167,1.5,1,Wye,16.7523875482598,8.80865097045898,2.28918177042008,1.6857142857142857,4.82596947953727,27.8502197265625,67.6990280151367,11.4863929748535,11.4863929748535,46.4928855895996,19.4583988189697,26.9681339263916,21.1838645935059,0,34.7306060791016,145T
2076,KH6Y15C,6,20,1.5,575,60,1175,2,1.3,Wye,5.92915680081256,4.690673828125,1.39701307660899,1.9162210338680927,5.14013062996989,12.0168437957764,48.4213600158691,11.9271726608276,11.9271726608276,46.6213569641113,17.2764568328857,30.5297698974609,22.5133495330811,0,23.3954467773438,182T
2077,KH6002C,6,20,2,575,60,1180,2.7,1.8,Wye,3.72182314851771,3.18039894104004,0.723230594835797,1.8918918918918919,3.79922698736905,7.62545251846313,33.8806037902832,11.9271726608276,11.9271726608276,47.9547691345215,16.9510517120361,30.5297698974609,21.1553516387939,0,15.514892578125,184T
2078,KH6003C,6,20,3,575,60,1176,3.5,1.9,Delta,10.9971916045636,7.42144584655762,2.60777097586781,1.552872606161532,8.04256474749324,21.0264091491699,68.0131378173828,15.161075592041,15.161075592041,55.2350730895996,21.4384250640869,23.4200305938721,18.1244258880615,0,35.7893600463867,213T
2079,KH6005C,6,20,5,575,60,1168,5.5,2.5,Delta,7.338472406021,5.70901536941528,1.61221034142854,1.5647568608570053,6.29418110673384,14.6596984863281,47.8358001708984,15.161075592041,15.161075592041,47.0411148071289,21.1527061462402,23.4200305938721,17.3243923187256,0,26.2268524169922,215T
2080,KH6Y75C,6,20,7.5,575,60,1173,8.2,3.6,Delta,3.78473968391812,3.33148217201233,0.749605277799822,1.7427937915742793,7.7766948384852,10.1773262023926,30.5411624908447,16.5955543518066,16.5955543518066,49.4081001281738,21.765380859375,29.974142074585,19.2080955505371,0,16.0546455383301,254T
2081,KH6010C,6,20,10,575,60,1170,10.8,4.3,Delta,2.75204457414281,2.73335385322571,0.512195804503589,1.863817097415507,6.50612181685765,7.89409065246582,26.059476852417,16.5955543518066,16.5955543518066,46.968563079834,21.8376388549805,29.974142074585,19.0626659393311,0,13.9505176544189,256T
2082,KH6025C,6,20,25,575,60,1179,25,10,Delta,0.936471001712814,0.721816003322601,0.135600564889844,1.4474327628361858,9.78221052784732,2.81951332092285,10.6065874099731,17.4295253753662,17.4295253753662,76.7094192504883,34.3853225708008,17.7327175140381,15.5694942474365,0,6.31073808670044,324T
2083,KH6020C,6,20,20,575,60,1175,20,8.3,Delta,1.2745483324517,1.11221718788147,0.177702839777078,1.2377690802348336,10.5098890887701,4.16292238235474,13.0233278274536,19.624095916748,19.624095916748,79.8989868164063,32.2209815979004,18.6340217590332,15.7039566040039,0,7.43502330780029,286T
